date,domain,status,status_details,pages
2021-12-06,domain1,Excluded,Alternate page with proper canonical tag,3824
2021-12-06,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-06,domain1,Excluded,Crawled - currently not indexed,287512
2021-12-06,domain1,Excluded,Duplicate without user-selected canonical,12091
2021-12-06,domain1,Excluded,"Duplicate, Google chose different canonical than user",64492
2021-12-06,domain1,Excluded,Excluded by ‘noindex’ tag,53894
2021-12-06,domain1,Valid,"Indexed, not submitted in sitemap",43187
2021-12-06,domain1,Excluded,Not found (404),300
2021-12-06,domain1,Excluded,Page with redirect,978035
2021-12-06,domain1,Error,Server error (5xx),5
2021-12-06,domain1,Excluded,Soft 404,12154
2021-12-07,domain1,Excluded,Alternate page with proper canonical tag,3824
2021-12-07,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-07,domain1,Excluded,Crawled - currently not indexed,287512
2021-12-07,domain1,Excluded,Duplicate without user-selected canonical,12091
2021-12-07,domain1,Excluded,"Duplicate, Google chose different canonical than user",64492
2021-12-07,domain1,Excluded,Excluded by ‘noindex’ tag,53894
2021-12-07,domain1,Valid,"Indexed, not submitted in sitemap",43187
2021-12-07,domain1,Excluded,Not found (404),300
2021-12-07,domain1,Excluded,Page with redirect,978035
2021-12-07,domain1,Error,Server error (5xx),5
2021-12-07,domain1,Excluded,Soft 404,12154
2021-12-09,domain1,Excluded,Alternate page with proper canonical tag,3762
2021-12-09,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-09,domain1,Excluded,Crawled - currently not indexed,288675
2021-12-09,domain1,Excluded,Duplicate without user-selected canonical,11781
2021-12-09,domain1,Excluded,"Duplicate, Google chose different canonical than user",63435
2021-12-09,domain1,Excluded,Excluded by ‘noindex’ tag,53166
2021-12-09,domain1,Valid,"Indexed, not submitted in sitemap",43237
2021-12-09,domain1,Excluded,Not found (404),300
2021-12-09,domain1,Excluded,Page with redirect,977231
2021-12-09,domain1,Error,Server error (5xx),5
2021-12-09,domain1,Excluded,Soft 404,12221
2021-12-10,domain1,Excluded,Alternate page with proper canonical tag,3762
2021-12-10,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-10,domain1,Excluded,Crawled - currently not indexed,288675
2021-12-10,domain1,Excluded,Duplicate without user-selected canonical,11781
2021-12-10,domain1,Excluded,"Duplicate, Google chose different canonical than user",63435
2021-12-10,domain1,Excluded,Excluded by ‘noindex’ tag,53166
2021-12-10,domain1,Valid,"Indexed, not submitted in sitemap",43237
2021-12-10,domain1,Excluded,Not found (404),300
2021-12-10,domain1,Excluded,Page with redirect,977231
2021-12-10,domain1,Error,Server error (5xx),5
2021-12-10,domain1,Excluded,Soft 404,12221
2021-12-11,domain1,Excluded,Alternate page with proper canonical tag,3762
2021-12-11,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-11,domain1,Excluded,Crawled - currently not indexed,288675
2021-12-11,domain1,Excluded,Duplicate without user-selected canonical,11781
2021-12-11,domain1,Excluded,"Duplicate, Google chose different canonical than user",63435
2021-12-11,domain1,Excluded,Excluded by ‘noindex’ tag,53166
2021-12-11,domain1,Valid,"Indexed, not submitted in sitemap",43237
2021-12-11,domain1,Excluded,Not found (404),300
2021-12-11,domain1,Excluded,Page with redirect,977231
2021-12-11,domain1,Error,Server error (5xx),5
2021-12-11,domain1,Excluded,Soft 404,12221
2021-12-13,domain1,Excluded,Alternate page with proper canonical tag,3623
2021-12-13,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-13,domain1,Excluded,Crawled - currently not indexed,281280
2021-12-13,domain1,Excluded,Duplicate without user-selected canonical,11334
2021-12-13,domain1,Excluded,"Duplicate, Google chose different canonical than user",62079
2021-12-13,domain1,Excluded,Excluded by ‘noindex’ tag,52312
2021-12-13,domain1,Valid,"Indexed, not submitted in sitemap",43135
2021-12-13,domain1,Excluded,Not found (404),311
2021-12-13,domain1,Excluded,Page with redirect,984910
2021-12-13,domain1,Error,Server error (5xx),9
2021-12-13,domain1,Excluded,Soft 404,12309
2021-12-14,domain1,Excluded,Alternate page with proper canonical tag,3623
2021-12-14,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-14,domain1,Excluded,Crawled - currently not indexed,281280
2021-12-14,domain1,Excluded,Duplicate without user-selected canonical,11334
2021-12-14,domain1,Excluded,"Duplicate, Google chose different canonical than user",62079
2021-12-14,domain1,Excluded,Excluded by ‘noindex’ tag,52312
2021-12-14,domain1,Valid,"Indexed, not submitted in sitemap",43135
2021-12-14,domain1,Excluded,Not found (404),311
2021-12-14,domain1,Excluded,Page with redirect,984910
2021-12-14,domain1,Error,Server error (5xx),9
2021-12-14,domain1,Excluded,Soft 404,12309
2021-12-15,domain1,Excluded,Alternate page with proper canonical tag,3482
2021-12-15,domain1,Excluded,Blocked due to other 4xx issue,0
2021-12-15,domain1,Excluded,Crawled - currently not indexed,273403
2021-12-15,domain1,Excluded,Duplicate without user-selected canonical,11173
2021-12-15,domain1,Excluded,"Duplicate, Google chose different canonical than user",61253
2021-12-15,domain1,Excluded,Excluded by ‘noindex’ tag,50998
2021-12-15,domain1,Valid,"Indexed, not submitted in sitemap",44452
2021-12-15,domain1,Excluded,Not found (404),316
